origin_country,total_flights,avg_velocity,avg_on_ground
Afghanistan,1,202.76,0.0
Algeria,7,192.40285714285713,0.0
Angola,5,151.64600000000002,0.0
Argentina,7,125.02571428571427,0.14285714285714285
Armenia,1,163.34,0.0
Australia,22,131.86636363636364,0.13636363636363635
Austria,133,161.4154887218045,0.12030075187969924
Azerbaijan,3,222.51666666666665,0.0
Bahamas,3,163.48333333333332,0.0
Bahrain,11,165.65636363636364,0.0
Bangladesh,6,122.18166666666667,0.5
Belarus,2,31.735,0.0
Belgium,55,167.48872727272726,0.12727272727272726
Brazil,108,160.58120370370372,0.07407407407407407
Brunei Darussalam,3,198.73666666666668,0.0
Bulgaria,21,155.54238095238094,0.19047619047619047
Cambodia,1,210.75,0.0
Canada,505,130.03224652087476,0.1900990099009901
Cape Verde,2,212.435,0.0
Chile,19,196.75578947368422,0.0
China,143,200.26594405594406,0.06293706293706294
Colombia,10,187.794,0.0
Croatia,17,192.9229411764706,0.058823529411764705
Cyprus,4,61.6725,0.0
Czech Republic,44,143.07181818181817,0.11363636363636363
Democratic Republic of the Congo,1,220.08,0.0
Denmark,37,165.52081081081081,0.08108108108108109
Dominican Republic,2,239.495,0.0
Egypt,44,222.78045454545455,0.022727272727272728
Estonia,9,78.12888888888888,0.5555555555555556
Ethiopia,11,216.5818181818182,0.09090909090909091
Finland,25,163.938,0.2
France,235,151.82097872340427,0.059574468085106386
Georgia,5,119.554,0.4
Germany,320,161.222,0.090625
Greece,62,134.16306451612905,0.20967741935483872
Guatemala,13,42.848461538461535,0.23076923076923078
Haiti,1,0.0,1.0
Hungary,54,187.05814814814815,0.037037037037037035
Iceland,15,189.68866666666665,0.0
India,113,165.34610619469026,0.017699115044247787
Indonesia,3,174.39333333333332,0.0
Ireland,347,199.99184438040345,0.04899135446685879
Islamic Republic of Iran,1,213.82,0.0
Israel,2,182.72,0.0
Italy,34,114.30823529411765,0.029411764705882353
Japan,36,192.4911111111111,0.16666666666666666
Jordan,14,201.6,0.0
Kazakhstan,3,153.45666666666668,0.0
Kenya,1,238.39,0.0
Kingdom of the Netherlands,143,164.57027972027973,0.11888111888111888
Kuwait,13,227.0069230769231,0.0
Kyrgyzstan,1,27.68,0.0
Latvia,32,187.0634375,0.09375
Lebanon,1,255.26,0.0
Libyan Arab Jamahiriya,1,225.14,0.0
Lithuania,13,86.30230769230769,0.5384615384615384
Luxembourg,26,177.0976923076923,0.07692307692307693
Malaysia,18,192.46222222222224,0.05555555555555555
Malta,216,185.23652777777775,0.06944444444444445
Mauritius,2,276.70500000000004,0.0
Mexico,141,170.56290780141842,0.0851063829787234
Monaco,2,30.59,0.5
Montenegro,2,101.2,0.5
Morocco,35,192.96514285714284,0.08571428571428572
Myanmar,3,195.47333333333333,0.0
New Zealand,6,123.48666666666666,0.3333333333333333
Niger,1,225.17,0.0
Nigeria,1,257.26,0.0
Norway,71,142.37985915492956,0.09859154929577464
Oman,8,213.44,0.0
Pakistan,3,174.2733333333333,0.0
Panama,24,225.39083333333335,0.0
Philippines,19,137.1963157894737,0.3157894736842105
Poland,135,176.23851851851853,0.07407407407407407
Portugal,64,151.76328125,0.125
Qatar,49,230.98857142857145,0.04081632653061224
Republic of Korea,43,188.82744186046511,0.11627906976744186
Republic of Moldova,1,199.98,0.0
Romania,23,169.11434782608697,0.0
Russian Federation,34,178.74558823529412,0.0
San Marino,7,165.19142857142856,0.14285714285714285
Saudi Arabia,16,229.223125,0.0625
Senegal,1,81.98,0.0
Serbia,22,172.44136363636363,0.09090909090909091
Singapore,25,218.75599999999997,0.08
Slovakia,4,107.5075,0.25
Slovenia,2,167.095,0.0
South Africa,31,135.35096774193548,0.0
Spain,218,171.08715596330276,0.0963302752293578
Sri Lanka,5,194.88600000000002,0.0
Sweden,94,154.07436170212765,0.10638297872340426
Switzerland,96,148.61333333333332,0.125
Syrian Arab Republic,1,243.64,0.0
Taiwan,22,219.54363636363635,0.045454545454545456
Thailand,13,177.5653846153846,0.07692307692307693
Trinidad and Tobago,1,223.9,0.0
Tunisia,9,202.9711111111111,0.0
Turkey,251,194.0426294820717,0.07171314741035857
Turkmenistan,2,230.63,0.0
Ukraine,4,133.05,0.0
United Arab Emirates,93,228.36516129032256,0.043010752688172046
United Kingdom,544,172.26639705882351,0.08088235294117647
United Republic of Tanzania,1,112.17,0.0
United States,7551,133.01480588313237,0.06965964772877764
Uzbekistan,7,169.1185714285714,0.14285714285714285
Venezuela,1,178.49,0.0
Viet Nam,13,224.94230769230768,0.0
