icao24,origin_country,velocity,on_ground
39de4f,France,165.16,False
39de4e,France,232.01,False
ab1644,United States,199.22,False
39de4b,France,180.49,False
39de4a,France,223.15,False
39de4d,France,191.49,False
a53edd,United States,113.77,False
a77ec5,United States,222.49,False
39de59,France,203.01,False
a41eef,United States,50.22,False
ab6fdd,United States,251.62,False
a60529,United States,49.61,False
a0f57e,United States,68.04,False
c07d20,Canada,127.28,False
3cf0b8,Germany,220.16,False
39de50,France,248.4,False
39de53,France,214.34,False
39de54,France,198.06,False
aa096a,United States,52.16,False
a5f845,United States,185.3,False
801647,India,69.46,False
ad5608,United States,69.62,False
acdfa6,United States,227.98,False
aa3cb4,United States,69.09,False
a3b88e,United States,146.66,False
aae316,United States,238.94,False
a3ebe2,United States,43.52,False
00b22d,South Africa,205.27,False
acdfa3,United States,261.78,False
a41ee6,United States,233.43,False
c047e9,Canada,74.96,False
801616,India,243.31,False
aa9300,United States,245.74,False
abacb6,United States,211.55,False
a23561,United States,83.25,False
aa0967,United States,74.11,False
a64baa,United States,39.08,False
aaf656,United States,230.33,False
a09273,United States,65.63,False
a97808,United States,106.31,False
a22248,United States,24.91,False
acdfab,United States,224.44,False
a0e250,United States,211.17,False
a2cba6,United States,256.26,False
39de46,France,196.21,False
407a05,United Kingdom,240.09,False
39de48,France,230.3,False
a2ded8,United States,230.11,False
3945f5,France,26.64,False
407a06,United Kingdom,255.52,False
51113c,Estonia,54.53,False
ab5cf4,United States,219.61,False
a34215,United States,246.37,False
39de40,France,220.4,False
80161d,India,239.12,False
39de42,France,121.96,False
a36875,United States,59.13,False
aa4fc9,United States,39.65,False
39de43,France,233.11,False
c047cf,Canada,64.79,False
80166c,India,238.48,False
80166d,India,77.71,False
a2228b,United States,216.53,False
ac232e,United States,242.24,False
511189,Estonia,0.0,True
ae6305,United States,227.55,False
abacd2,United States,248.45,False
ae6304,United States,109.22,False
4acb01,Sweden,183.19,False
4acb03,Sweden,198.51,False
48d210,Poland,63.57,False
ae6300,United States,180.49,False
4acb02,Sweden,11.32,True
4acb04,Sweden,231.06,False
a47597,United States,78.97,False
4bc8c6,Turkey,107.92,False
4bc8c7,Turkey,241.79,False
a7bc8e,United States,203.35,False
4bc8d0,Turkey,192.8,False
80167f,India,74.12,False
adffc1,United States,166.86,False
a007c6,United States,60.28,False
abf008,United States,7.2,True
511171,Estonia,190.85,False
a710fe,United States,39.45,False
aaf67d,United States,229.04,False
ad563d,United States,192.63,False
801698,India,197.17,False
4bc8d9,Turkey,109.19,False
801699,India,181.3,False
aa0934,United States,60.53,False
4bc8d5,Turkey,99.56,False
4bc8d6,Turkey,204.53,False
4bc8d3,Turkey,48.1,False
4bc8d4,Turkey,242.31,False
acdfe7,United States,71.06,False
3442cb,Spain,175.31,False
e8025f,Chile,210.97,False
ac234f,United States,94.6,False
ad5679,United States,209.45,False
a39bfa,United States,212.13,False
ac101f,United States,244.7,False
471efa,Hungary,211.36,False
ae0cd1,United States,62.48,False
acdffc,United States,232.88,False
a9a0a7,United States,41.56,False
801659,India,271.85,False
e80270,Chile,220.58,False
471efe,Hungary,231.99,False
471eff,Hungary,243.72,False
471efd,Hungary,238.29,False
a950bf,United States,259.9,False
00b230,South Africa,141.92,False
801666,India,172.32,False
a34268,United States,237.82,False
44029f,Austria,197.27,False
511195,Estonia,271.79,False
adecb6,United States,230.92,False
3932ee,France,60.65,False
ae6316,United States,155.52,False
511194,Estonia,182.7,False
a3689e,United States,156.3,False
a3556f,United States,255.23,False
abf025,United States,233.23,False
ac2369,United States,154.67,False
a3b86c,United States,228.21,False
a39bf3,United States,71.47,False
a53ee2,United States,213.98,False
ae630a,United States,63.67,False
ae630b,United States,143.1,False
ad5672,United States,41.17,False
ac21e4,United States,249.89,False
0d11c0,Mexico,155.4,False
adda1e,United States,254.67,False
3455da,Spain,231.82,False
ab01ee,United States,52.03,False
c02267,Canada,57.49,False
3d2506,Germany,61.79,False
0d11c4,Mexico,44.45,False
abad94,United States,230.42,False
a8dbd2,United States,35.26,False
4acb42,Sweden,180.07,False
a4b294,United States,225.22,False
440261,Austria,82.44,False
adda24,United States,234.56,False
a127d3,United States,50.22,False
adda25,United States,229.4,False
39470b,France,155.9,False
e80218,Chile,138.85,False
ac6a65,United States,255.84,False
ad9d7f,United States,70.46,False
0d11d1,Mexico,207.78,False
e8020b,Chile,225.61,False
aae1ea,United States,243.53,False
a9656c,United States,48.97,False
3455d7,Spain,190.18,False
3455d8,Spain,222.84,False
3455d9,Spain,157.24,False
a5d26d,United States,51.42,False
a5829d,United States,214.53,False
adb7f4,United States,44.27,False
a88be3,United States,170.08,False
3c5ee8,Germany,191.57,False
3c5ee7,Germany,2.57,True
3c5ee6,Germany,224.58,False
80168c,India,158.97,False
3c5ee5,Germany,8.75,True
0d11e4,Mexico,221.73,False
0d11e8,Mexico,196.95,False
3c5ee9,Germany,198.11,False
4bc8cf,Turkey,1.8,True
4bc8cd,Turkey,216.16,False
